SignOn,SignOnDay,From,To,SignOff,SignOffDay,SignOnMinutes,SignOffMinutes
1:50,FR,ERN,KCVL,7:45,FR,110,465
2:08,FR,ED,ERN,9:35,FR,128,575
3:20,FR,KCVL,ERS,10:05,FR,200,605
3:25,FR,CLT,ERS,8:30,FR,205,510
4:15,FR,TVC,CLT,11:46,FR,255,706
4:48,FR,ED,ERN,12:20,FR,288,740
5:40,FR,TVC,ERS,9:31,FR,340,571
7:03,FR,ERS,ERN,11:22,FR,423,682
7:20,FR,ERS,SRR,11:15,FR,440,675
9:10,FR,ERS,SRR,12:30,FR,550,750
10:25,FR,ERN,ED,18:20,FR,625,1100
11:15,FR,TVC,ERN,17:07,FR,675,1027
11:46,FR,ERN,TVC,18:35,FR,706,1115
15:30,FR,KCVL,ERN,22:25,FR,930,1345
15:45,FR,TVC,ERN,21:40,FR,945,1300
17:16,FR,SRR,TVC,23:10,FR,1036,1390
18:08,FR,SRR,ERS,21:05,FR,1088,1265
19:05,FR,QLN,ERN,0:15,SA,1145,15
20:45,FR,ERN,ED,3:57,SA,1245,237
21:18,FR,ED,ERS,3:45,SA,1278,225
23:25,FR,ED,ERN,6:06,SA,1405,366
0:05,MO,SRR,ERS,3:20,MO,5,200
0:45,MO,KCVL,ERS,5:35,MO,45,335
2:05,MO,ERS,TVC,7:10,MO,125,430
2:08,MO,ED,ERN,9:35,MO,128,575
3:25,MO,CLT,ERS,8:30,MO,205,510
4:15,MO,TVC,CLT,11:46,MO,255,706
4:23,MO,ERN,KCVL,10:55,MO,263,655
4:45,MO,KCVL,ERN,11:39,MO,285,699
4:48,MO,ED,ERN,12:20,MO,288,740
7:20,MO,ERS,SRR,11:15,MO,440,675
10:25,MO,ERN,KCVL,16:40,MO,625,1000
10:25,MO,ERN,ED,18:20,MO,625,1100
11:15,MO,TVC,ERN,17:07,MO,675,1027
11:46,MO,ERN,TVC,18:35,MO,706,1115
12:35,MO,CLT,ERS,18:45,MO,755,1125
15:30,MO,KCVL,ERN,22:25,MO,930,1345
17:16,MO,SRR,TVC,23:10,MO,1036,1390
19:10,MO,KCVL,ERN,23:42,MO,1150,1422
20:45,MO,ERN,ED,3:57,TU,1245,237
22:55,MO,ERS,ED,5:55,TU,1375,355
23:25,MO,ED,ERS,6:30,TU,1405,390
2:29,SA,ERN,QLN,9:31,SA,149,571
2:50,SA,ERS,TVC,7:30,SA,170,450
3:25,SA,CLT,ERS,8:30,SA,205,510
