SignOn,SignOnDay,From,To,SignOff,SignOffDay,SignOnMinutes,SignOffMinutes,TotalTime
1:50,FR,ERN,KCVL,7:45,FR,110.0,465.0,355
2:08,FR,ED,ERN,9:35,FR,128.0,575.0,447
3:20,FR,KCVL,ERS,10:05,FR,200.0,605.0,405
3:25,FR,CLT,ERS,8:30,FR,205.0,510.0,305
4:15,FR,TVC,CLT,11:46,FR,255.0,706.0,451
4:48,FR,ED,ERN,12:20,FR,288.0,740.0,452
5:40,FR,TVC,ERS,9:31,FR,340.0,571.0,231
7:03,FR,ERS,ERN,11:22,FR,423.0,682.0,259
7:20,FR,ERS,SRR,11:15,FR,440.0,675.0,235
9:10,FR,ERS,SRR,12:30,FR,550.0,750.0,200
10:25,FR,ERN,ED,18:20,FR,625.0,1100.0,475
11:15,FR,TVC,ERN,17:07,FR,675.0,1027.0,352
11:46,FR,ERN,TVC,18:35,FR,706.0,1115.0,409
15:30,FR,KCVL,ERN,22:25,FR,930.0,1345.0,415
15:45,FR,TVC,ERN,21:40,FR,945.0,1300.0,355
17:16,FR,SRR,TVC,23:10,FR,1036.0,1390.0,354
18:08,FR,SRR,ERS,21:05,FR,1088.0,1265.0,177
19:05,FR,QLN,ERN,0:15,SA,1145.0,15.0,310
20:45,FR,ERN,ED,3:57,SA,1245.0,237.0,432
21:18,FR,ED,ERS,3:45,SA,1278.0,225.0,387
23:25,FR,ED,ERN,6:06,SA,1405.0,366.0,401
0:05,MO,SRR,ERS,3:20,MO,5.0,200.0,195
0:45,MO,KCVL,ERS,5:35,MO,45.0,335.0,290
2:05,MO,ERS,TVC,7:10,MO,125.0,430.0,305
2:08,MO,ED,ERN,9:35,MO,128.0,575.0,447
3:25,MO,CLT,ERS,8:30,MO,205.0,510.0,305
4:15,MO,TVC,CLT,11:46,MO,255.0,706.0,451
4:23,MO,ERN,KCVL,10:55,MO,263.0,655.0,392
4:45,MO,KCVL,ERN,11:39,MO,285.0,699.0,414
4:48,MO,ED,ERN,12:20,MO,288.0,740.0,452
7:20,MO,ERS,SRR,11:15,MO,440.0,675.0,235
10:25,MO,ERN,KCVL,16:40,MO,625.0,1000.0,375
10:25,MO,ERN,ED,18:20,MO,625.0,1100.0,475
11:15,MO,TVC,ERN,17:07,MO,675.0,1027.0,352
11:46,MO,ERN,TVC,18:35,MO,706.0,1115.0,409
12:35,MO,CLT,ERS,18:45,MO,755.0,1125.0,370
15:30,MO,KCVL,ERN,22:25,MO,930.0,1345.0,415
17:16,MO,SRR,TVC,23:10,MO,1036.0,1390.0,354
19:10,MO,KCVL,ERN,23:42,MO,1150.0,1422.0,272
20:45,MO,ERN,ED,3:57,TU,1245.0,237.0,432
22:55,MO,ERS,ED,5:55,TU,1375.0,355.0,420
23:25,MO,ED,ERS,6:30,TU,1405.0,390.0,425
2:29,SA,ERN,QLN,9:31,SA,149.0,571.0,422
2:50,SA,ERS,TVC,7:30,SA,170.0,450.0,280
3:25,SA,CLT,ERS,8:30,SA,205.0,510.0,305
