TrainNo,StartingStationCode,DepartureTime,ArrivingStationCode,ArrivalTime,EdgeWeight
657,ERS,Sat 23:25,TCR,Sun 0:40,75
657,TCR,Sun 1:10,PGT,Sun 5:05,235
657,PGT,Sun 5:25,ED,Sun 9:25,240
658,ED,Thu 0:10,PGT,Fri 6:35,1825
658,PGT,Fri 7:00,TCR,Fri 8:50,110
658,TCR,Fri 10:10,ERS,Fri 12:30,140
6011,MDU,Mon 15:24,TEN,Mon 18:35,191
6011,TEN,Mon 18:45,NCJ,Mon 20:25,100
6012,NCJ,Sun 16:35,TEN,Sun 17:46,71
6012,TEN,Sun 17:51,MDU,Sun 20:55,184
6013,ALLP,Sun 17:35,KYJ,Sun 18:31,56
6013,KYJ,Sun 18:32,QLN,Sun 19:30,58
6013,ALLP,Mon 17:35,KYJ,Mon 18:31,56
6013,KYJ,Mon 18:32,QLN,Mon 19:30,58
6013,ALLP,Tue 17:35,KYJ,Tue 18:31,56
6013,KYJ,Tue 18:32,QLN,Tue 19:30,58
6013,ALLP,Wed 17:35,KYJ,Wed 18:31,56
6013,KYJ,Wed 18:32,QLN,Wed 19:30,58
6013,ALLP,Thu 17:35,KYJ,Thu 18:31,56
6013,KYJ,Thu 18:32,QLN,Thu 19:30,58
6013,ALLP,Fri 17:35,KYJ,Fri 18:31,56
6013,KYJ,Fri 18:32,QLN,Fri 19:30,58
6013,ALLP,Sat 17:35,KYJ,Sat 18:31,56
6013,KYJ,Sat 18:32,QLN,Sat 19:30,58
6014,QLN,Sun 3:45,KYJ,Sun 4:45,60
6014,KYJ,Sun 4:46,ALLP,Sun 5:50,64
6014,QLN,Mon 3:45,KYJ,Mon 4:45,60
6014,KYJ,Mon 4:46,ALLP,Mon 5:50,64
6014,QLN,Tue 3:45,KYJ,Tue 4:45,60
6014,KYJ,Tue 4:46,ALLP,Tue 5:50,64
6014,QLN,Wed 3:45,KYJ,Wed 4:45,60
6014,KYJ,Wed 4:46,ALLP,Wed 5:50,64
6014,QLN,Thu 3:45,KYJ,Thu 4:45,60
