TrainNo,StartingStationCode,DepartureTime,ArrivingStationCode,ArrivalTime
657,ERS,Sat 23:25,TCR,Sun 0:40
657,TCR,Sun 1:10,PGT,Sun 5:05
657,PGT,Sun 5:25,CBF,Sun 7:00
657,CBF,Sun 7:25,TUP,Sun 8:30
657,TUP,Sun 8:50,ED,Sun 9:25
657,ED,Sun 9:55,SA,Sun 11:00
657,SA,Sun 12:00,JTJ,Sun 16:20
657,JTJ,Sun 16:35,KPD,Sun 18:10
657,KPD,Sun 18:55,OGL,Mon 1:55
657,OGL,Mon 2:00,NGNT,Mon 4:30
657,NGNT,Mon 4:40,BZA,Mon 6:10
657,BZA,Mon 6:20,TDD,Mon 9:10
657,TDD,Mon 9:15,RJY,Mon 10:15
657,RJY,Mon 10:25,BLS,Tue 7:15
657,BLS,Tue 7:45,KGP,Tue 9:30
657,KGP,Tue 10:00,PKU,Tue 10:40
657,PKU,Tue 11:10,MCA,Tue 11:35
657,MCA,Tue 12:05,SGTY,Tue 13:00
658,SGTY,Tue 23:00,MCA,Tue 23:45
658,MCA,Tue 0:15,PKU,Wed 0:40
658,PKU,Wed 1:10,KGP,Wed 2:00
658,KGP,Wed 2:30,BLS,Wed 3:50
658,BLS,Wed 4:20,PSA,Wed 14:00
658,PSA,Wed 14:40,RJY,Wed 21:40
658,RJY,Wed 21:50,TDD,Wed 22:40
658,TDD,Wed 22:45,BZA,Thu 1:00
658,BZA,Thu 1:10,NGNT,Thu 2:05
658,NGNT,Thu 2:15,OGL,Thu 5:06
658,OGL,Thu 5:11,KPD,Thu 16:15
658,KPD,Thu 16:35,JTJ,Thu 17:55
658,JTJ,Thu 19:00,ED,Thu 23:00
658,ED,Thu 0:10,TUP,Fri 1:20
658,TUP,Fri 1:50,CBF,Fri 2:45
658,CBF,Fri 5:00,PGT,Fri 6:35
658,PGT,Fri 7:00,TCR,Fri 8:50
658,TCR,Fri 10:10,ERS,Fri 12:30
6011,TBM,Mon 7:45,CGL,Mon 8:18
6011,CGL,Mon 8:20,VM,Mon 10:00
6011,VM,Mon 10:05,VRI,Mon 10:58
6011,VRI,Mon 11:00,TPJ,Mon 12:52
6011,TPJ,Mon 13:02,DG,Mon 14:02
6011,DG,Mon 14:04,MDU,Mon 15:19
6011,MDU,Mon 15:24,VPT,Mon 16:07
6011,VPT,Mon 16:09,SRT,Mon 16:30
6011,SRT,Mon 16:32,CVP,Mon 16:52
6011,CVP,Mon 16:54,TEN,Mon 18:35
6011,TEN,Mon 18:45,VLY,Mon 19:18
6011,VLY,Mon 19:20,NCJ,Mon 20:25
6012,NCJ,Sun 16:35,VLY,Sun 17:11
6012,VLY,Sun 17:13,TEN,Sun 17:46
6012,TEN,Sun 17:51,CVP,Sun 18:43
6012,CVP,Sun 18:45,SRT,Sun 19:03
6012,SRT,Sun 19:05,VPT,Sun 19:28
6012,VPT,Sun 19:30,MDU,Sun 20:55
6012,MDU,Sun 21:05,DG,Sun 22:03
6012,DG,Sun 22:05,TPJ,Sun 23:30
6012,TPJ,Sun 23:40,VRI,Mon 1:12
6012,VRI,Mon 1:14,VM,Mon 1:55
6012,VM,Mon 2:05,CGL,Mon 3:25
6012,CGL,Mon 3:27,TBM,Mon 4:10
6013,ALLP,Sun 17:35,PNPR,Sun 17:41
6013,PNPR,Sun 17:42,AMPA,Sun 17:47
6013,AMPA,Sun 17:48,TZH,Sun 17:53
6013,TZH,Sun 17:54,KVTA,Sun 18:02
6013,KVTA,Sun 18:03,HAD,Sun 18:09
6013,HAD,Sun 18:10,CHPD,Sun 18:17
6013,CHPD,Sun 18:18,KYJ,Sun 18:31
6013,KYJ,Sun 18:32,OCR,Sun 18:41
6013,OCR,Sun 18:42,KPY,Sun 18:50
6013,KPY,Sun 18:51,STKT,Sun 19:00
6013,STKT,Sun 19:01,MQO,Sun 19:07
6013,MQO,Sun 19:08,PRND,Sun 19:14
6013,PRND,Sun 19:15,QLN,Sun 19:30
6013,ALLP,Mon 17:35,PNPR,Mon 17:41
6013,PNPR,Mon 17:42,AMPA,Mon 17:47
6013,AMPA,Mon 17:48,TZH,Mon 17:53
6013,TZH,Mon 17:54,KVTA,Mon 18:02
6013,KVTA,Mon 18:03,HAD,Mon 18:09
6013,HAD,Mon 18:10,CHPD,Mon 18:17
6013,CHPD,Mon 18:18,KYJ,Mon 18:31
6013,KYJ,Mon 18:32,OCR,Mon 18:41
6013,OCR,Mon 18:42,KPY,Mon 18:50
6013,KPY,Mon 18:51,STKT,Mon 19:00
6013,STKT,Mon 19:01,MQO,Mon 19:07
6013,MQO,Mon 19:08,PRND,Mon 19:14
6013,PRND,Mon 19:15,QLN,Mon 19:30
6013,ALLP,Tue 17:35,PNPR,Tue 17:41
6013,PNPR,Tue 17:42,AMPA,Tue 17:47
6013,AMPA,Tue 17:48,TZH,Tue 17:53
6013,TZH,Tue 17:54,KVTA,Tue 18:02
6013,KVTA,Tue 18:03,HAD,Tue 18:09
6013,HAD,Tue 18:10,CHPD,Tue 18:17
6013,CHPD,Tue 18:18,KYJ,Tue 18:31
6013,KYJ,Tue 18:32,OCR,Tue 18:41
6013,OCR,Tue 18:42,KPY,Tue 18:50
6013,KPY,Tue 18:51,STKT,Tue 19:00
6013,STKT,Tue 19:01,MQO,Tue 19:07
6013,MQO,Tue 19:08,PRND,Tue 19:14
6013,PRND,Tue 19:15,QLN,Tue 19:30
6013,ALLP,Wed 17:35,PNPR,Wed 17:41
6013,PNPR,Wed 17:42,AMPA,Wed 17:47
6013,AMPA,Wed 17:48,TZH,Wed 17:53
6013,TZH,Wed 17:54,KVTA,Wed 18:02
6013,KVTA,Wed 18:03,HAD,Wed 18:09
6013,HAD,Wed 18:10,CHPD,Wed 18:17
6013,CHPD,Wed 18:18,KYJ,Wed 18:31
6013,KYJ,Wed 18:32,OCR,Wed 18:41
6013,OCR,Wed 18:42,KPY,Wed 18:50
6013,KPY,Wed 18:51,STKT,Wed 19:00
6013,STKT,Wed 19:01,MQO,Wed 19:07
6013,MQO,Wed 19:08,PRND,Wed 19:14
6013,PRND,Wed 19:15,QLN,Wed 19:30
6013,ALLP,Thu 17:35,PNPR,Thu 17:41
6013,PNPR,Thu 17:42,AMPA,Thu 17:47
6013,AMPA,Thu 17:48,TZH,Thu 17:53
6013,TZH,Thu 17:54,KVTA,Thu 18:02
6013,KVTA,Thu 18:03,HAD,Thu 18:09
6013,HAD,Thu 18:10,CHPD,Thu 18:17
6013,CHPD,Thu 18:18,KYJ,Thu 18:31
6013,KYJ,Thu 18:32,OCR,Thu 18:41
6013,OCR,Thu 18:42,KPY,Thu 18:50
6013,KPY,Thu 18:51,STKT,Thu 19:00
6013,STKT,Thu 19:01,MQO,Thu 19:07
6013,MQO,Thu 19:08,PRND,Thu 19:14
6013,PRND,Thu 19:15,QLN,Thu 19:30
6013,ALLP,Fri 17:35,PNPR,Fri 17:41
6013,PNPR,Fri 17:42,AMPA,Fri 17:47
6013,AMPA,Fri 17:48,TZH,Fri 17:53
6013,TZH,Fri 17:54,KVTA,Fri 18:02
6013,KVTA,Fri 18:03,HAD,Fri 18:09
